del_den glob_den sigd ep del_f del_sig del_ep v_p10 v_p20 v_p30 v_p40 v_p50 v_mean v_p60 v_p70 v_p80 v_p90 v_max v_sum v_std den_p10 den_p20 den_p30 den_p40 den_p50 den_mean den_p60 den_p70 den_p80 den_p90 den_max den_sum den_std den_numloc den_volloc dist_p10 dist_p20 dist_p30 dist_p40 dist_p50 dist_mean dist_p60 dist_p70 dist_p80 dist_p90 dist_max dist_sum dist_std c_10 c_20 c_30 c_40 c_50 c_60 c_70 c_80 c_90 c_len
0.00001 0.00028 112.00000 0.01310 0.28581 1.00000 0.00010 620.00000 735.30000 791.40000 836.40000 1000.00000 1730.13043 1095.30000 1383.30000 1878.60000 3058.00000 11819.00000 159172.00000 2043.81896 0.00000 0.00000 0.00000 0.00000 0.00000 0.00023 0.00000 0.00000 0.00000 0.00000 0.16653 9.41853 0.00346 488.00000 9.41261 213.58690 340.55209 435.05230 525.10027 601.16515 597.17635 691.12554 768.06569 846.24530 946.98276 1359.71865 4999560.41181 272.32491 1.00006 0.99230 0.98461 0.98461 0.97699 0.97699 0.96943 0.96943 0.96194 24.65000
0.00004 0.00029 113.00000 0.01320 0.27943 1.00000 0.00010 629.60000 735.30000 793.60000 929.30000 1004.00000 1744.12903 1109.10000 1390.80000 2093.10000 3851.90000 14830.00000 162204.00000 2287.75757 0.00000 0.00000 0.00000 0.00000 0.00000 0.00023 0.00000 0.00000 0.00000 0.00000 0.17530 9.50353 0.00353 497.00000 9.49659 216.69108 340.55209 436.76941 529.14679 607.53843 597.17635 691.12554 768.06569 846.24530 946.98276 1359.71865 4999560.41181 272.32491 1.00014 0.99245 0.98483 0.98483 0.97727 0.97727 0.96977 0.96977 0.96234 24.70000
0.00001 0.00033 114.00000 0.01330 0.27305 1.00000 0.00000 639.20000 716.60000 791.40000 836.40000 1000.00000 1811.33019 1095.30000 1390.80000 2093.10000 3265.30000 19253.00000 182659.00000 2637.56801 0.00000 0.00000 0.00000 0.00000 0.00000 0.00027 0.00000 0.00000 0.00000 0.00000 0.17530 10.79677 0.00377 517.00000 10.78875 216.69108 328.68298 436.76941 529.14679 607.53843 597.32695 699.10581 768.81910 851.25368 951.93278 1344.86853 5244684.66443 274.67488 1.00015 0.99210 0.98411 0.98411 0.97619 0.97619 0.96835 0.96835 0.96057 24.45000
0.00001 0.00033 115.00000 0.01330 0.26668 1.00000 0.00010 629.60000 713.70000 760.00000 862.40000 1010.00000 1842.15842 1177.30000 1452.00000 1966.70000 3761.80000 19253.00000 186058.00000 2637.56801 0.00000 0.00000 0.00000 0.00000 0.00000 0.00027 0.00000 0.00000 0.00000 0.00000 0.16608 10.79677 0.00378 517.00000 10.78875 209.08342 327.85039 430.11212 517.94612 605.73134 594.67922 684.97270 759.81305 847.53367 951.93278 1344.86853 5899879.44587 274.67488 1.00021 0.99303 0.98592 0.98592 0.97885 0.97885 0.97185 0.97185 0.96489 25.00000
0.00002 0.00034 116.00000 0.01340 0.26030 1.00000 0.00010 605.60000 703.30000 758.00000 844.50000 940.00000 1842.15842 1141.10000 1419.60000 1832.90000 3761.80000 28102.00000 192001.00000 3107.37021 0.00000 0.00000 0.00000 0.00000 0.00000 0.00028 0.00000 0.00000 0.00000 0.00000 0.16608 11.22474 0.00386 596.00000 11.21740 209.08342 324.69740 423.48268 508.88324 584.06966 592.11111 676.02629 759.81305 847.53367 953.51222 1356.62852 6648248.97471 276.62205 1.00026 0.99305 0.98590 0.98590 0.97881 0.97881 0.97177 0.97177 0.96478 24.95000
0.00000 0.00037 117.00000 0.01350 0.25392 1.00000 0.00010 605.60000 703.30000 758.00000 859.50000 958.00000 1842.15842 1141.10000 1419.60000 1832.90000 3761.80000 17497.00000 205204.00000 2711.79755 0.00000 0.00000 0.00000 0.00000 0.00000 0.00030 0.00000 0.00000 0.00000 0.00000 0.19498 11.95363 0.00403 614.00000 11.94345 211.97715 320.19701 422.28555 508.88324 584.06966 592.11111 676.02629 759.81305 847.53367 960.14621 1381.80283 7229676.68567 279.88285 1.00013 0.99257 0.98508 0.98508 0.97765 0.97765 0.97028 0.97028 0.96298 24.80000
0.00000 0.00037 118.00000 0.01360 0.24754 1.00000 0.00010 618.40000 703.30000 802.00000 859.50000 958.00000 1818.96460 1115.80000 1308.00000 1725.30000 3546.00000 28490.00000 205543.00000 3140.66462 0.00000 0.00000 0.00000 0.00000 0.00000 0.00030 0.00000 0.00000 0.00000 0.00000 0.19498 11.95363 0.00403 614.00000 11.94345 211.97715 320.19701 422.28555 508.88324 586.34350 592.11111 682.78312 763.62376 851.08326 967.12707 1381.80283 7323735.67997 288.75001 1.00016 0.99253 0.98496 0.98496 0.97746 0.97746 0.97003 0.97003 0.96266 24.80000
0.00002 0.00037 119.00000 0.01370 0.24117 1.00000 0.00010 645.00000 717.50000 831.00000 919.40000 995.00000 1818.96460 1115.80000 1308.00000 1725.30000 3382.60000 29620.00000 205543.00000 3228.71533 0.00000 0.00000 0.00000 0.00000 0.00000 0.00030 0.00000 0.00000 0.00000 0.00000 0.19498 11.95363 0.00405 614.00000 11.94345 187.01025 275.74397 381.00315 491.60769 586.34350 578.67697 682.78312 763.62376 851.08326 967.12707 1329.03870 7334979.93288 288.75001 1.00027 0.99281 0.98540 0.98540 0.97806 0.97806 0.97078 0.97078 0.96356 24.85000
0.00004 0.00039 120.00000 0.01380 0.23479 1.00000 0.00020 661.00000 723.70000 834.60000 935.00000 1024.00000 1840.28244 1120.00000 1485.80000 1937.50000 3360.00000 29705.00000 215734.00000 3228.71533 0.00000 0.00000 0.00000 0.00000 0.00000 0.00031 0.00000 0.00000 0.00000 0.00000 0.16835 12.60344 0.00415 618.00000 12.59308 187.01025 275.74397 379.80384 481.14914 569.21724 578.67697 671.21504 763.62376 851.08326 967.12707 1329.03870 7334979.93288 288.75001 1.00023 0.99316 0.98614 0.98614 0.97918 0.97918 0.97227 0.97227 0.96541 25.10000
0.00001 0.00042 121.00000 0.01400 0.22841 1.00000 0.00010 661.00000 740.00000 834.60000 935.00000 1024.00000 1875.94783 1162.70000 1485.80000 2038.40000 3360.00000 30935.00000 235802.00000 3289.87367 0.00000 0.00000 0.00000 0.00000 0.00000 0.00034 0.00000 0.00000 0.00000 0.00000 0.16835 13.57476 0.00422 649.00000 13.56463 181.64090 275.74397 375.64622 478.21447 563.72587 559.49504 656.35851 743.37579 821.37126 928.43180 1328.68768 7334979.93288 285.21176 1.00021 0.99308 0.98600 0.98600 0.97899 0.97899 0.97202 0.97202 0.96511 25.05000
