del_den glob_den sigd ep del_f del_sig del_ep v_p10 v_p20 v_p30 v_p40 v_p50 v_mean v_p60 v_p70 v_p80 v_p90 v_max v_sum v_std den_p10 den_p20 den_p30 den_p40 den_p50 den_mean den_p60 den_p70 den_p80 den_p90 den_max den_sum den_std den_numloc den_volloc dist_p10 dist_p20 dist_p30 dist_p40 dist_p50 dist_mean dist_p60 dist_p70 dist_p80 dist_p90 dist_max dist_sum dist_std c_10 c_20 c_30 c_40 c_50 c_60 c_70 c_80 c_90 c_len
-0.00003 0.00022 21.87500 0.00120 0.91627 7.81250 0.00040 54.00000 58.00000 65.00000 72.00000 83.00000 196.83271 96.50000 115.50000 139.00000 251.00000 7960.00000 52948.00000 625.88291 0.00000 0.00000 0.00000 0.00000 0.00000 0.00016 0.00000 0.00000 0.00000 0.00000 0.07965 3.18690 0.00186 495.00000 3.18389 206.89474 294.64993 350.54212 401.74286 456.09864 483.76911 513.25003 582.90674 673.43416 800.45909 1257.65756 34931227.40391 225.11987 1.00006 0.99551 0.99100 0.99100 0.98652 0.98652 0.98207 0.98207 0.97765 30.00000
-0.00005 0.00019 29.68750 0.00160 0.88636 7.81250 0.00080 54.00000 59.00000 65.00000 74.90000 85.00000 196.83271 96.50000 115.50000 139.00000 251.00000 7960.00000 52948.00000 625.88291 0.00000 0.00000 0.00000 0.00000 0.00000 0.00016 0.00000 0.00000 0.00000 0.00000 0.08147 3.18690 0.00186 495.00000 3.18389 209.86160 295.09898 352.14757 403.93068 457.19068 484.53681 514.80202 584.85094 679.21748 801.03382 1258.13590 34931227.40391 226.02367 1.00002 0.99454 0.98910 0.98910 0.98370 0.98370 0.97834 0.97834 0.97303 27.55000
-0.00002 0.00014 37.50000 0.00240 0.85646 7.81250 0.00040 53.00000 59.00000 65.00000 75.00000 85.50000 146.34211 96.10000 111.10000 142.00000 233.70000 3902.00000 38927.00000 293.23131 0.00000 0.00000 0.00000 0.00000 0.00000 0.00012 0.00000 0.00000 0.00000 0.00000 0.08477 2.33961 0.00137 473.00000 2.33813 210.28492 298.26877 353.55456 404.10087 458.53876 484.53681 514.80202 584.85094 679.21748 800.45909 1258.13590 34440090.77537 226.02367 1.00023 0.99368 0.98719 0.98719 0.98075 0.98075 0.97436 0.97436 0.96802 25.80000
-0.00001 0.00011 45.31250 0.00280 0.82656 7.81250 0.00030 53.00000 58.10000 64.00000 74.90000 85.00000 130.43145 95.00000 110.00000 135.90000 224.40000 1809.00000 32347.00000 191.28020 0.00000 0.00000 0.00000 0.00000 0.00000 0.00010 0.00000 0.00000 0.00000 0.00000 0.08147 1.94225 0.00121 421.00000 1.94054 210.42412 298.26877 353.55456 404.10087 458.53876 483.65936 513.45878 581.00427 671.32876 790.77352 1257.64452 29627037.58945 222.90237 1.00008 0.99287 0.98571 0.98571 0.97862 0.97862 0.97159 0.97159 0.96462 25.25000
-0.00000 0.00011 53.12500 0.00310 0.79665 7.81250 0.00040 53.00000 58.10000 64.00000 72.00000 80.00000 125.54202 93.10000 109.20000 132.90000 210.40000 1727.00000 29879.00000 174.41050 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.08273 1.78254 0.00119 420.00000 1.78180 210.38517 294.70932 350.07255 401.54704 454.76714 478.37588 509.28905 573.90018 660.69621 776.92962 1256.63948 27297425.60916 218.99897 1.00013 0.99300 0.98594 0.98594 0.97893 0.97893 0.97198 0.97198 0.96509 25.20000
-0.00000 0.00010 60.93750 0.00350 0.76675 7.81250 0.00030 53.00000 58.10000 65.00000 72.00000 80.00000 119.99170 93.10000 108.00000 131.00000 197.40000 1578.00000 28918.00000 146.06976 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.08273 1.73993 0.00112 412.00000 1.73964 210.38517 292.84025 345.31183 396.05130 448.04547 471.94719 502.94618 564.56077 648.45086 763.66150 1256.63948 26983270.03871 215.51303 1.00013 0.99279 0.98552 0.98552 0.97830 0.97830 0.97115 0.97115 0.96406 25.00000
0.00000 0.00010 68.75000 0.00380 0.73684 7.81250 0.00030 53.00000 58.10000 65.00000 72.00000 80.00000 118.01261 93.10000 108.00000 131.00000 189.30000 1537.00000 28087.00000 146.06976 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.08483 1.70118 0.00112 412.00000 1.70061 210.38517 292.84025 345.31183 396.05130 448.04547 471.94719 502.94618 564.56077 648.45086 763.66150 1256.88017 27203540.31463 215.51303 1.00012 0.99197 0.98390 0.98390 0.97590 0.97590 0.96797 0.96797 0.96012 24.50000
0.00000 0.00010 76.56250 0.00410 0.70694 7.81250 0.00040 53.00000 57.70000 64.00000 70.00000 78.00000 118.01261 91.50000 107.50000 131.00000 188.80000 1578.00000 28087.00000 149.20826 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.08694 1.70118 0.00112 414.00000 1.70061 210.50503 292.62874 345.09809 395.68167 448.62517 472.04088 503.41234 564.54395 648.43178 763.69567 1263.16776 27203540.31463 216.31326 0.99998 0.99130 0.98271 0.98271 0.97421 0.97421 0.96580 0.96580 0.95748 24.35000
0.00000 0.00010 84.37500 0.00450 0.67703 7.81250 0.00020 53.00000 57.00000 63.60000 70.00000 78.00000 118.97890 91.10000 106.70000 133.00000 188.80000 1615.00000 28198.00000 152.50397 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09092 1.69481 0.00115 414.00000 1.69430 210.50503 292.62874 345.09809 395.68167 448.62517 472.04088 503.41234 564.54395 648.43178 763.69567 1263.78586 27203540.31463 216.43218 1.00007 0.99137 0.98276 0.98276 0.97423 0.97423 0.96579 0.96579 0.95744 24.30000
-0.00000 0.00010 92.18750 0.00470 0.64713 7.81250 0.00030 53.00000 57.70000 64.00000 73.00000 79.00000 119.06504 91.10000 106.70000 133.00000 188.80000 1726.00000 28585.00000 161.48498 0.00000 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 0.00000 0.00000 0.00000 0.09206 1.74551 0.00115 415.00000 1.74499 210.50503 292.62874 345.09809 395.68167 448.62517 472.04088 501.28940 563.18786 648.43178 763.69567 1264.80164 26308432.97470 216.31326 1.00006 0.99199 0.98400 0.98400 0.97608 0.97608 0.96823 0.96823 0.96046 24.55000
