del_den glob_den sigd ep del_f del_sig del_ep v_p10 v_p20 v_p30 v_p40 v_p50 v_mean v_p60 v_p70 v_p80 v_p90 v_max v_sum v_std den_p10 den_p20 den_p30 den_p40 den_p50 den_mean den_p60 den_p70 den_p80 den_p90 den_max den_sum den_std den_numloc den_volloc dist_p10 dist_p20 dist_p30 dist_p40 dist_p50 dist_mean dist_p60 dist_p70 dist_p80 dist_p90 dist_max dist_sum dist_std c_20 c_30 c_40 c_50 c_60 c_70 c_80 c_90 c_100 c_len
-0.00001 0.00095 15.62550 0.00130 0.90661 7.81250 0.00040 54.00000 60.90000 69.00000 78.00000 95.00000 446.27107 119.00000 160.00000 229.10000 408.40000 114389.00000 315179.00000 4517.76621 0.00000 0.00000 0.00000 0.00000 0.00000 0.00079 0.00000 0.00000 0.00000 0.00000 0.67091 18.83460 0.01174 1012.00000 18.72810 221.34404 300.38077 365.78072 426.82254 492.55785 531.66187 566.87508 655.48346 769.51978 908.82175 1324.46959 261631870.56217 257.89571 0.99974 0.99549 0.99127 0.99127 0.98708 0.98708 0.98292 0.98292 0.97879 31.30000 
-0.00000 0.00094 23.43800 0.00170 0.85992 7.81250 0.00030 54.00000 61.00000 69.00000 78.00000 95.00000 448.04552 119.00000 160.00000 229.10000 408.40000 114619.00000 315179.00000 4560.33540 0.00000 0.00000 0.00000 0.00000 0.00000 0.00079 0.00000 0.00000 0.00000 0.00000 0.67183 18.83460 0.01176 1019.00000 18.72810 221.34404 300.38077 365.78072 426.82254 492.55785 531.66187 566.87508 655.48346 769.51978 908.82175 1324.68172 262053386.73537 257.89571 0.99966 0.99546 0.99128 0.99128 0.98714 0.98714 0.98302 0.98302 0.97893 31.25000 
-0.00001 0.00094 31.25050 0.00200 0.81323 7.81250 0.00030 54.00000 61.00000 69.00000 79.00000 93.50000 448.04552 119.00000 159.00000 229.10000 407.40000 114712.00000 314976.00000 4567.21284 0.00000 0.00000 0.00000 0.00000 0.00000 0.00079 0.00000 0.00000 0.00000 0.00000 0.67091 18.80303 0.01174 1019.00000 18.70079 221.34404 300.38077 365.78072 426.82254 492.55785 531.66187 566.87508 655.48346 769.51978 908.82175 1324.72815 261631870.56217 257.89571 0.99960 0.99543 0.99128 0.99128 0.98717 0.98717 0.98308 0.98308 0.97901 31.35000 
-0.00000 0.00094 39.06300 0.00230 0.76654 7.81250 0.00030 55.00000 61.00000 69.00000 79.00000 93.50000 448.04552 121.00000 156.00000 231.00000 396.00000 114712.00000 313232.00000 4567.21284 0.00000 0.00000 0.00000 0.00000 0.00000 0.00078 0.00000 0.00000 0.00000 0.00000 0.66966 18.68571 0.01174 1019.00000 18.58825 221.10552 299.82567 365.32642 426.62759 492.03932 531.00345 567.06409 656.26960 770.02733 907.94704 1324.84930 260400984.35067 258.25396 0.99969 0.99538 0.99111 0.99111 0.98686 0.98686 0.98265 0.98265 0.97846 31.10000 
0.00000 0.00093 46.87550 0.00260 0.71985 0.00000 0.00010 55.00000 61.00000 69.60000 79.00000 97.00000 451.27971 119.70000 155.50000 232.20000 396.00000 114235.00000 311709.00000 4570.30448 0.00000 0.00000 0.00000 0.00000 0.00000 0.00078 0.00000 0.00000 0.00000 0.00000 0.66966 18.59467 0.01174 1015.00000 18.49471 221.60840 300.43487 365.61603 426.20167 492.03932 530.88543 567.06409 656.26960 770.02733 907.91124 1324.84930 252388243.68227 258.25396 0.99960 0.99536 0.99116 0.99116 0.98698 0.98698 0.98283 0.98283 0.97870 31.05000 
0.00000 0.00093 46.87550 0.00270 0.71985 0.00000 0.00000 55.00000 61.00000 70.00000 80.00000 97.00000 451.27971 119.70000 155.40000 232.20000 396.00000 114235.00000 311709.00000 4574.62535 0.00000 0.00000 0.00000 0.00000 0.00000 0.00078 0.00000 0.00000 0.00000 0.00000 0.66938 18.59467 0.01176 1012.00000 18.49471 219.36541 298.57699 364.17818 425.60909 491.58320 529.62035 564.93784 652.07447 765.43910 902.55830 1324.84930 252388243.68227 255.93265 0.99966 0.99537 0.99112 0.99112 0.98689 0.98689 0.98269 0.98269 0.97852 30.95000 
0.00000 0.00093 46.87550 0.00270 0.71985 7.81250 0.00000 55.00000 62.00000 70.00000 80.00000 96.50000 453.72489 119.70000 153.00000 228.00000 398.80000 114386.00000 311709.00000 4598.49237 0.00000 0.00000 0.00000 0.00000 0.00000 0.00078 0.00000 0.00000 0.00000 0.00000 0.66938 18.59467 0.01176 1006.00000 18.49471 220.79430 299.91797 365.46485 426.20167 491.58320 529.62035 564.93784 652.07447 765.43910 902.55830 1324.97762 249600539.30529 255.93265 0.99962 0.99538 0.99116 0.99116 0.98697 0.98697 0.98281 0.98281 0.97868 31.00000 
0.00000 0.00093 54.68800 0.00270 0.67315 7.81250 0.00040 54.90000 62.00000 70.00000 80.00000 96.50000 456.18713 119.00000 153.00000 226.00000 402.20000 114386.00000 311739.00000 4613.04749 0.00000 0.00000 0.00000 0.00000 0.00000 0.00078 0.00000 0.00000 0.00000 0.00000 0.65453 18.56133 0.01175 1006.00000 18.46518 220.79430 299.91797 365.46485 426.43262 491.98439 531.14543 566.08610 653.89295 767.69451 906.98987 1324.97762 248136272.63068 257.30428 0.99969 0.99537 0.99107 0.99107 0.98680 0.98680 0.98256 0.98256 0.97835 31.10000 
0.00000 0.00093 62.50050 0.00310 0.62646 7.81250 0.00040 54.90000 62.00000 70.00000 79.00000 96.50000 456.18713 119.00000 152.60000 222.70000 402.20000 114363.00000 312032.00000 4613.04749 0.00000 0.00000 0.00000 0.00000 0.00000 0.00078 0.00000 0.00000 0.00000 0.00000 0.65237 18.56133 0.01173 1006.00000 18.46518 220.79430 299.91797 365.46485 426.43262 491.98439 531.14543 566.08610 653.89295 767.69451 906.98987 1324.91971 248136272.63068 257.30428 0.99980 0.99547 0.99117 0.99117 0.98690 0.98690 0.98266 0.98266 0.97845 31.05000 
0.00000 0.00094 70.31300 0.00350 0.57977 7.81250 0.00050 54.00000 61.00000 69.00000 79.00000 96.50000 450.63977 119.00000 152.60000 222.70000 402.20000 114198.00000 312744.00000 4541.62091 0.00000 0.00000 0.00000 0.00000 0.00000 0.00078 0.00000 0.00000 0.00000 0.00000 0.63689 18.60878 0.01165 1019.00000 18.50831 220.28522 299.62075 365.03524 425.74446 491.13457 530.67019 565.55525 652.96893 767.69451 906.98987 1324.91971 255221580.75373 257.30428 0.99982 0.99550 0.99120 0.99120 0.98694 0.98694 0.98270 0.98270 0.97850 31.15000 
